tree	node	distance	d-025	d-975	brLen	speed	x-005	x-095	slower	faster
joyce2023	66	11393.029	6324.205	17468.021	19.375	588.027	7068.284	17572.651	0.049	0.024
joyce2023	67	10010.188	4929.517	16855.995	19.375	516.655	7409.693	17464.252	0.187	0.018
joyce2023	68	3479.130	1156.023	6898.529	4.375	795.230	1750.166	6537.318	0.093	0.036
joyce2023	69	38596.150	27857.288	50716.084	68.750	561.399	33486.747	52685.224	0.187	0.011
joyce2023	70	14386.292	8216.388	21574.849	24.375	590.207	9256.043	21124.134	0.057	0.032
joyce2023	71	13784.968	7106.968	21579.048	24.375	565.537	9282.460	21500.094	0.106	0.026
joyce2023	72	2980.606	930.901	6293.472	3.750	794.828	1452.465	5957.276	0.092	0.037
joyce2023	73	18664.717	11448.522	26979.984	30.000	622.157	13207.958	25733.604	0.076	0.048
joyce2023	74	32933.602	24020.501	43649.376	59.375	554.671	27882.498	45485.155	0.145	0.011
joyce2023	75	2238.115	391.769	6048.419	3.688	606.946	667.170	5337.363	0.069	0.054
joyce2023	76	2862.790	1031.497	6108.555	3.688	776.350	1552.834	6056.927	0.097	0.027
joyce2023	77	31230.414	22398.736	41678.638	55.688	560.816	26281.588	43544.687	0.147	0.013
joyce2023	78	5146.740	1545.369	9696.333	6.875	748.617	2136.775	8122.066	0.068	0.110
joyce2023	79	24915.277	16326.263	36037.217	48.125	517.720	22680.431	38804.108	0.323	0.008
joyce2023	80	7125.730	3264.949	13256.154	14.995	475.202	5771.039	14650.017	0.298	0.010
joyce2023	81	9437.602	5724.263	16181.974	19.380	486.980	6901.406	16764.358	0.102	0.016
joyce2023	82	9043.379	5157.343	15986.029	19.380	466.638	7103.198	17648.639	0.198	0.009
joyce2023	83	5443.317	2199.679	10783.738	10.625	512.312	3695.571	11421.468	0.188	0.015
joyce2023	84	11981.211	7564.401	19291.057	23.750	504.472	9001.652	20308.073	0.114	0.013
joyce2023	85	8183.950	3875.338	14120.966	15.000	545.597	5923.019	14868.883	0.176	0.014
joyce2023	86	4598.130	1576.143	8727.229	8.750	525.501	2463.218	9455.688	0.106	0.011
joyce2023	87	4616.867	1666.823	8721.110	8.750	527.642	2578.461	9346.369	0.108	0.014
joyce2023	88	3684.160	1184.467	7802.419	5.625	654.962	2032.175	7528.911	0.123	0.032
joyce2023	89	18069.508	10998.850	26866.224	33.125	545.495	15009.618	28711.112	0.216	0.011
joyce2023	90	4512.272	1467.547	9270.787	6.250	721.964	2114.392	7940.926	0.077	0.073
joyce2023	91	5602.415	2274.672	10122.831	8.750	640.276	3446.229	10562.470	0.126	0.018
joyce2023	92	14852.061	8068.815	23301.659	28.750	516.593	11553.963	24293.650	0.200	0.015
joyce2023	93	15320.994	9005.049	23118.827	25.000	612.840	10829.464	22540.966	0.089	0.034
joyce2023	94	5739.286	2427.973	9710.946	3.750	1530.476	555.975	5003.778	0.000	0.609
joyce2023	95	6163.910	2133.048	8855.488	3.750	1643.709	667.170	5226.168	0.004	0.697
joyce2023	96	3274.380	1025.455	6452.064	3.750	873.168	1642.293	6244.902	0.107	0.034
joyce2023	97	17210.452	10056.493	26254.364	33.750	509.939	14325.817	27793.973	0.246	0.011
joyce2023	98	6294.036	2473.142	11746.530	11.250	559.470	4152.532	11728.606	0.178	0.025
joyce2023	99	11689.164	6661.516	18712.926	22.500	519.518	8999.941	20103.391	0.157	0.010
joyce2023	100	3802.187	1244.926	7901.539	6.250	608.350	2158.073	7916.786	0.145	0.025
joyce2023	101	8899.385	4619.300	14641.621	16.250	547.654	6105.245	15637.053	0.113	0.013
joyce2023	102	10124.487	5637.135	15819.237	16.250	623.045	5902.906	15343.707	0.034	0.034
joyce2023	103	1842.728	323.151	5338.602	2.500	737.091	555.975	4225.413	0.074	0.084
joyce2023	104	19098.196	11574.307	28320.898	35.000	545.663	15816.376	29917.521	0.222	0.012
joyce2023	105	8708.781	3690.798	11831.506	6.250	1393.405	2001.605	7942.893	0.003	0.646
joyce2023	106	4765.854	1565.458	8112.103	3.125	1525.073	1556.731	5858.425	0.025	0.285
joyce2023	107	2288.239	444.932	4561.491	3.125	732.236	667.170	4558.998	0.056	0.025
joyce2023	108	2668.469	522.510	4745.511	3.125	853.910	667.170	4670.193	0.039	0.027
joyce2023	109	3984.508	1223.427	8245.868	4.375	910.745	1719.425	6821.374	0.077	0.110
joyce2023	110	18724.687	11130.355	28649.531	36.875	507.788	16350.875	30099.834	0.289	0.013
joyce2023	111	3841.028	1223.971	8446.278	5.625	682.849	1983.228	7533.094	0.112	0.057
joyce2023	112	2272.187	752.667	4322.738	1.875	1211.833	1116.627	4335.763	0.082	0.025
joyce2023	113	13981.298	8007.995	22209.395	29.375	475.959	12461.944	24487.574	0.330	0.008
joyce2023	114	14115.485	8296.488	22417.557	29.375	480.527	11964.998	24777.589	0.261	0.008
joyce2023	115	6740.863	3178.065	12079.253	11.875	567.652	4943.364	12850.408	0.184	0.015
joyce2023	116	8926.421	4544.358	15932.481	19.375	460.718	7437.631	17162.396	0.288	0.013
joyce2023	117	9106.088	4741.038	15489.337	19.375	469.992	7060.363	17528.280	0.203	0.008
joyce2023	118	2440.410	773.692	4993.046	2.500	976.164	1334.411	4935.678	0.133	0.028
joyce2023	119	1193.397	186.830	2993.581	1.250	954.718	333.585	3113.462	0.070	0.018
joyce2023	120	13606.844	7706.944	21408.193	26.875	506.301	11492.575	23420.984	0.262	0.008
joyce2023	121	11461.302	6517.319	17888.522	21.875	523.945	9584.431	20184.212	0.247	0.005
joyce2023	122	11288.032	6430.970	18609.622	24.375	463.099	9665.337	21230.973	0.300	0.006
joyce2023	123	10974.467	6447.634	18454.781	24.375	450.235	9689.223	20714.368	0.342	0.007
joyce2023	124	6510.916	3212.222	11255.895	11.875	548.288	4887.469	13090.874	0.192	0.006
joyce2023	125	4069.845	1170.016	8642.535	8.125	500.904	2455.755	9314.657	0.188	0.015
joyce2023	126	2083.276	647.462	4370.702	1.875	1111.080	1241.460	4274.591	0.159	0.029
joyce2023	127	12547.049	7412.456	19914.541	24.375	514.751	9631.643	20450.852	0.154	0.020
joyce2023	128	15749.287	10099.747	22224.708	24.375	646.125	9551.703	21001.672	0.017	0.050
joyce2023	129	5192.459	1981.138	10872.998	10.746	483.194	3860.944	11548.524	0.256	0.016
joyce2023	130	10316.372	4997.233	15287.371	15.504	665.406	5757.109	14969.586	0.040	0.031
joyce2023	131	9832.182	5031.354	14861.503	15.504	634.176	6014.152	15278.025	0.051	0.020
joyce2023	132	1055.966	142.279	3106.603	1.250	844.773	444.780	3113.462	0.151	0.024
joyce2023	133	9560.856	4491.805	14967.906	14.375	665.103	5861.892	14443.768	0.079	0.037
joyce2023	134	10368.776	6080.596	16650.919	18.750	553.001	7021.491	16622.004	0.080	0.026
joyce2023	135	8040.569	4099.313	14571.790	18.750	428.830	6613.879	16891.995	0.279	0.005
joyce2023	136	3750.895	1068.423	7342.801	5.000	750.179	1759.111	7151.736	0.102	0.032
joyce2023	137	17000.343	11874.106	24665.594	28.125	604.457	11461.033	24202.207	0.015	0.030
joyce2023	138	3245.448	963.548	6958.171	4.375	741.817	1769.434	6671.984	0.145	0.036
joyce2023	139	3066.023	846.740	6904.690	4.375	700.805	1492.621	6333.872	0.125	0.048
joyce2023	140	9515.476	5367.779	16114.477	19.375	491.121	7246.426	17667.042	0.194	0.009
joyce2023	141	9626.668	5011.888	16270.492	19.375	496.860	7176.877	16977.511	0.182	0.015
joyce2023	142	9067.176	3710.156	16997.260	15.625	580.299	6084.621	15399.588	0.175	0.067
joyce2023	143	10358.588	2958.458	14276.984	8.125	1274.903	2360.995	9151.609	0.012	0.611
joyce2023	144	9891.482	5930.414	14675.551	8.125	1217.413	2345.333	8913.846	0.001	0.729
joyce2023	145	859.125	121.708	2212.635	0.625	1374.599	222.390	2112.706	0.054	0.035
joyce2023	146	35286.381	24558.153	49104.051	72.500	486.709	34490.296	54680.561	0.446	0.004
joyce2023	147	3633.665	1131.396	7341.051	3.750	968.977	1560.183	6184.168	0.064	0.084
joyce2023	148	20934.676	14019.544	30113.488	38.125	549.106	17354.164	30884.499	0.166	0.017
joyce2023	149	15166.128	8693.083	23906.530	30.625	495.221	13234.641	26411.624	0.298	0.006
